I_Code_Arrondissements	I_Region	I_Dep	I_Ar	I_Cheflieu	I_Tncc	I_Artmaj	I_Ncc	I_Armin	I_Nccent	ColResultInSnipet	Wiki_Url	Wiki_Name_Snipet	Wiki_name_arrondissement	Wiki_Coordinates_lat	Wiki_Coordinates_lon	W_Pays	W_Region	W_Departement	W_Chef-lieu	W_Code_arrondissement	W_Population	W_Densite	W_Superficie	W_Cantons	W_Communes	W_Name_ru	W_Name_uk	W_Name_en	W_Name_de	W_Name_pl	W_Name_es	W_Name_pt	W_Name_it	W_Name_nl	W_Name_da	W_Name_no	W_Name_sv	W_Name_cs	W_Name_ro	W_Name_bg	W_Name_hu	W_Name_sk	W_Name_sl	W_Name_sh	W_Name_hr	W_Url_ru	W_Url_uk	W_Url_en	W_Url_de	W_Url_pl	W_Url_es	W_Url_pt	W_Url_it	W_Url_nl	W_Url_da	W_Url_no	W_Url_sv	W_Url_cs	W_Url_ro	W_Url_bg	W_Url_hu	W_Url_sk	W_Url_sl	W_Url_sh	W_Url_hr
94 1	11	94	1	94028	0		CRETEIL		Créteil	20	/wiki/Arrondissement_de_Créteil	Arrondissement de Créteil	Arrondissement de Créteil	48.78277778	2.45333333	France	Île-de-France	Val-de-Marne	Créteil	None	692 809 hab. (2012)	4 745 hab./km2	146 km2	25	23	Кретей (округ)		Arrondissement of Créteil	Arrondissement Créteil	Okręg Créteil	Distrito de Créteil		Arrondissement di Créteil	Arrondissement Créteil				Arrondissement Créteil	Arondismentul Créteil			Créteil (obvod)				https://ru.wikipedia.org/wiki/Кретей_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Créteil	https://de.wikipedia.org/wiki/Arrondissement_Créteil	https://pl.wikipedia.org/wiki/Okręg_Créteil	https://es.wikipedia.org/wiki/Distrito_de_Créteil		https://it.wikipedia.org/wiki/Arrondissement_di_Créteil	https://nl.wikipedia.org/wiki/Arrondissement_Créteil				https://cs.wikipedia.org/wiki/Arrondissement_Créteil	https://ro.wikipedia.org/wiki/Arondismentul_Créteil			https://sk.wikipedia.org/wiki/Créteil_(obvod)			
89 3	27	89	3	89387	0		SENS		Sens	1	/wiki/Arrondissement_de_Sens	Arrondissement de Sens	Arrondissement de Sens	48.2475	3.28777778	France	Bourgogne-Franche-Comté	Yonne	Sens	89 3	113 091 hab. (2013)	66 hab./km2	1 704 km2	10	109	Санс (округ)		Arrondissement of Sens	Arrondissement Sens	Okręg Sens	Distrito de Sens		Arrondissement di Sens	Arrondissement Sens				Arrondissement Sens	Arondismentul Sens			Sens (obvod)				https://ru.wikipedia.org/wiki/Санс_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Sens	https://de.wikipedia.org/wiki/Arrondissement_Sens	https://pl.wikipedia.org/wiki/Okręg_Sens	https://es.wikipedia.org/wiki/Distrito_de_Sens		https://it.wikipedia.org/wiki/Arrondissement_di_Sens	https://nl.wikipedia.org/wiki/Arrondissement_Sens				https://cs.wikipedia.org/wiki/Arrondissement_Sens	https://ro.wikipedia.org/wiki/Arondismentul_Sens			https://sk.wikipedia.org/wiki/Sens_(obvod)			
89 2	27	89	2	89025	1		AVALLON		Avallon	1	/wiki/Arrondissement_d'Avallon	Arrondissement d'Avallon	Arrondissement d'Avallon	47.49083333	3.90916667	France	Bourgogne-Franche-Comté	Yonne	Avallon	89 2	49 130 hab. (2011)	22 hab./km2	2 209 km2	10	149	Аваллон (округ)		Arrondissement of Avallon	Arrondissement Avallon	Okręg Avallon	Distrito de Avallon		Arrondissement di Avallon	Arrondissement Avallon				Arrondissement Avallon	Arondismentul Avallon			Avallon (obvod)				https://ru.wikipedia.org/wiki/Аваллон_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Avallon	https://de.wikipedia.org/wiki/Arrondissement_Avallon	https://pl.wikipedia.org/wiki/Okręg_Avallon	https://es.wikipedia.org/wiki/Distrito_de_Avallon		https://it.wikipedia.org/wiki/Arrondissement_di_Avallon	https://nl.wikipedia.org/wiki/Arrondissement_Avallon				https://cs.wikipedia.org/wiki/Arrondissement_Avallon	https://ro.wikipedia.org/wiki/Arondismentul_Avallon			https://sk.wikipedia.org/wiki/Avallon_(obvod)			
17 1	75	17	1	17197	0		JONZAC		Jonzac	20	/wiki/Arrondissement_de_Jonzac	Arrondissement de Jonzac	Arrondissement de Jonzac	45.45	-0.433333	France	Nouvelle-Aquitaine	Charente-Maritime	Jonzac	None	55 968 hab. (2010 [1])	37 hab./km2	1 530 km2	7	114	Жонзак (округ)		Arrondissement of Jonzac	Arrondissement Jonzac	Okręg Jonzac	Distrito de Jonzac		Arrondissement di Jonzac	Arrondissement Jonzac				Arrondissement Jonzac	Arondismentul Jonzac			Jonzac (obvod)				https://ru.wikipedia.org/wiki/Жонзак_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Jonzac	https://de.wikipedia.org/wiki/Arrondissement_Jonzac	https://pl.wikipedia.org/wiki/Okręg_Jonzac	https://es.wikipedia.org/wiki/Distrito_de_Jonzac		https://it.wikipedia.org/wiki/Arrondissement_di_Jonzac	https://nl.wikipedia.org/wiki/Arrondissement_Jonzac				https://cs.wikipedia.org/wiki/Arrondissement_Jonzac	https://ro.wikipedia.org/wiki/Arondismentul_Jonzac			https://sk.wikipedia.org/wiki/Jonzac_(obvod)			
17 2	75	17	2	17299	0		ROCHEFORT		Rochefort	20	/wiki/Arrondissement_de_Rochefort	Arrondissement de Rochefort	Arrondissement de Rochefort	45.93333333	-0.96666667	France	Nouvelle-Aquitaine	Charente-Maritime	Rochefort	None	187 843 hab. (2014)	123 hab./km2	1 528 km2	13	79	Рошфор (округ)		Arrondissement of Rochefort	Arrondissement Rochefort	Okręg Rochefort	Distrito de Rochefort		Arrondissement di Rochefort	Arrondissement Rochefort				Arrondissement Rochefort	Arondismentul Rochefort			Rochefort (obvod)				https://ru.wikipedia.org/wiki/Рошфор_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Rochefort	https://de.wikipedia.org/wiki/Arrondissement_Rochefort	https://pl.wikipedia.org/wiki/Okręg_Rochefort	https://es.wikipedia.org/wiki/Distrito_de_Rochefort		https://it.wikipedia.org/wiki/Arrondissement_di_Rochefort	https://nl.wikipedia.org/wiki/Arrondissement_Rochefort				https://cs.wikipedia.org/wiki/Arrondissement_Rochefort	https://ro.wikipedia.org/wiki/Arondismentul_Rochefort			https://sk.wikipedia.org/wiki/Rochefort_(obvod)			
17 3	75	17	3	17300	3	(LA)	ROCHELLE	(La)	Rochelle	20	/wiki/Arrondissement_de_La_Rochelle	Arrondissement de La Rochelle	Arrondissement de La Rochelle	46.16666667	-1.16666667	France	Nouvelle-Aquitaine	Charente-Maritime	La Rochelle	None	210 151 hab. (2014)	257 hab./km2	818 km2	15	57	Ла-Рошель (округ)		Arrondissement of La Rochelle	Arrondissement La Rochelle	Okręg La Rochelle	Distrito de La Rochelle		Arrondissement di La Rochelle	Arrondissement La Rochelle				Arrondissement La Rochelle	Arondismentul La Rochelle			La Rochelle (obvod)				https://ru.wikipedia.org/wiki/Ла-Рошель_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_La_Rochelle	https://de.wikipedia.org/wiki/Arrondissement_La_Rochelle	https://pl.wikipedia.org/wiki/Okręg_La_Rochelle	https://es.wikipedia.org/wiki/Distrito_de_La_Rochelle		https://it.wikipedia.org/wiki/Arrondissement_di_La_Rochelle	https://nl.wikipedia.org/wiki/Arrondissement_La_Rochelle				https://cs.wikipedia.org/wiki/Arrondissement_La_Rochelle	https://ro.wikipedia.org/wiki/Arondismentul_La_Rochelle			https://sk.wikipedia.org/wiki/La_Rochelle_(obvod)			
17 4	75	17	4	17415	0		SAINTES		Saintes	20	/wiki/Arrondissement_de_Saintes	Arrondissement de Saintes	Arrondissement de Saintes	45.75	-0.633333	France	Nouvelle-Aquitaine	Charente-Maritime	Saintes	None	128 786 hab. (2014)	83 hab./km2	1 546 km2	9	107	Сент (округ)		Arrondissement of Saintes	Arrondissement Saintes	Okręg Saintes	Distrito de Saintes		Arrondissement di Saintes	Arrondissement Saintes				Arrondissement Saintes	Arondismentul Saintes			Saintes (obvod)				https://ru.wikipedia.org/wiki/Сент_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Saintes	https://de.wikipedia.org/wiki/Arrondissement_Saintes	https://pl.wikipedia.org/wiki/Okręg_Saintes	https://es.wikipedia.org/wiki/Distrito_de_Saintes		https://it.wikipedia.org/wiki/Arrondissement_di_Saintes	https://nl.wikipedia.org/wiki/Arrondissement_Saintes				https://cs.wikipedia.org/wiki/Arrondissement_Saintes	https://ro.wikipedia.org/wiki/Arondismentul_Saintes			https://sk.wikipedia.org/wiki/Saintes_(obvod)			
17 5	75	17	5	17347	0		SAINT-JEAN-D'ANGELY		Saint-Jean-d'Angély	20	/wiki/Arrondissement_de_Saint-Jean-d'Angély	Arrondissement de Saint-Jean-d'Angély	Arrondissement de Saint-Jean-d'Angély	45.95	-0.516667	France	Nouvelle-Aquitaine	Charente-Maritime	Saint-Jean-d'Angély	None	53 336 hab. (2014)	37 hab./km2	1 442 km2	7	115	Сен-Жан-д’Анжели (округ)		Arrondissement of Saint-Jean-d'Angély	Arrondissement Saint-Jean-d’Angély	Okręg Saint-Jean-d’Angély	Distrito de Saint-Jean-d'Angély		Arrondissement di Saint-Jean-d'Angély	Arrondissement Saint-Jean-d'Angély				Arrondissement Saint-Jean-d'Angély	Arondismentul Saint-Jean-d'Angély			Saint-Jean-d'Angély (obvod)				https://ru.wikipedia.org/wiki/Сен-Жан-д’Анжели_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Saint-Jean-d'Angély	https://de.wikipedia.org/wiki/Arrondissement_Saint-Jean-d’Angély	https://pl.wikipedia.org/wiki/Okręg_Saint-Jean-d’Angély	https://es.wikipedia.org/wiki/Distrito_de_Saint-Jean-d'Angély		https://it.wikipedia.org/wiki/Arrondissement_di_Saint-Jean-d'Angély	https://nl.wikipedia.org/wiki/Arrondissement_Saint-Jean-d'Angély				https://cs.wikipedia.org/wiki/Arrondissement_Saint-Jean-d'Angély	https://ro.wikipedia.org/wiki/Arondismentul_Saint-Jean-d'Angély			https://sk.wikipedia.org/wiki/Saint-Jean-d'Angély_(obvod)			
72 2	52	72	2	72180	0		MAMERS		Mamers	1	/wiki/Arrondissement_de_Mamers	Arrondissement de Mamers	Arrondissement de Mamers	48.35	0.36666667	France	Pays de la Loire	Sarthe	Mamers	72 2	150 943 hab. (2014)	53 hab./km2	2 847 km2	16	197	Мамер (округ)		Arrondissement of Mamers	Arrondissement Mamers	Okręg Mamers	Distrito de Mamers		Arrondissement di Mamers	Arrondissement Mamers				Arrondissement Mamers	Arondismentul Mamers			Mamers (obvod)				https://ru.wikipedia.org/wiki/Мамер_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Mamers	https://de.wikipedia.org/wiki/Arrondissement_Mamers	https://pl.wikipedia.org/wiki/Okręg_Mamers	https://es.wikipedia.org/wiki/Distrito_de_Mamers		https://it.wikipedia.org/wiki/Arrondissement_di_Mamers	https://nl.wikipedia.org/wiki/Arrondissement_Mamers				https://cs.wikipedia.org/wiki/Arrondissement_Mamers	https://ro.wikipedia.org/wiki/Arondismentul_Mamers			https://sk.wikipedia.org/wiki/Mamers_(obvod)			
53 1	52	53	1	53062	0		CHATEAU-GONTIER		Château-Gontier	20	/wiki/Arrondissement_de_Château-Gontier	Arrondissement de Château-Gontier	Arrondissement de Château-Gontier	47.8386	-0.7354	France	Pays de la Loire	Mayenne	Château-Gontier	None	73 186 hab. (2014)	48 hab./km2	1 527,39 km2	None	84	Шато-Гонтье (округ)		Arrondissement of Château-Gontier	Arrondissement Château-Gontier	Okręg Château-Gontier	Distrito de Château-Gontier		Arrondissement di Château-Gontier	Arrondissement Château-Gontier				Arrondissement Château-Gontier	Arondismentul Château-Gontier			Château-Gontier (obvod)				https://ru.wikipedia.org/wiki/Шато-Гонтье_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Château-Gontier	https://de.wikipedia.org/wiki/Arrondissement_Château-Gontier	https://pl.wikipedia.org/wiki/Okręg_Château-Gontier	https://es.wikipedia.org/wiki/Distrito_de_Château-Gontier		https://it.wikipedia.org/wiki/Arrondissement_di_Château-Gontier	https://nl.wikipedia.org/wiki/Arrondissement_Château-Gontier				https://cs.wikipedia.org/wiki/Arrondissement_Château-Gontier	https://ro.wikipedia.org/wiki/Arondismentul_Château-Gontier			https://sk.wikipedia.org/wiki/Château-Gontier_(obvod)			
53 2	52	53	2	53130	0		LAVAL		Laval	20	/wiki/Arrondissement_de_Laval	Arrondissement de Laval	Arrondissement de Laval	48.0696	-0.7664	France	Pays de la Loire	Mayenne	Laval	None	112 482 hab. (2014)	164 hab./km2	686,07 km2	None	34	Лаваль (округ)		Arrondissement of Laval	Arrondissement Laval	Okręg Laval	Distrito de Laval		Arrondissement di Laval	Arrondissement Laval				Arrondissement Laval	Arondismentul Laval			Laval (obvod)				https://ru.wikipedia.org/wiki/Лаваль_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Laval	https://de.wikipedia.org/wiki/Arrondissement_Laval	https://pl.wikipedia.org/wiki/Okręg_Laval	https://es.wikipedia.org/wiki/Distrito_de_Laval		https://it.wikipedia.org/wiki/Arrondissement_di_Laval	https://nl.wikipedia.org/wiki/Arrondissement_Laval				https://cs.wikipedia.org/wiki/Arrondissement_Laval	https://ro.wikipedia.org/wiki/Arondismentul_Laval			https://sk.wikipedia.org/wiki/Laval_(obvod)			
53 3	52	53	3	53147	0		MAYENNE		Mayenne	20	/wiki/Arrondissement_de_Mayenne	Arrondissements de la Mayenne	Arrondissement de Mayenne	48.3076	-0.6201	France	Pays de la Loire	Mayenne	Mayenne	None	121 682 hab. (2014)	41 hab./km2	2 961,75 km2	None	137	Майенн (округ)		Arrondissement of Mayenne	Arrondissement Mayenne	Okręg Mayenne	Distrito de Mayenne		Arrondissement di Mayenne	Arrondissement Mayenne				Arrondissement Mayenne	Arondismentul Mayenne			Mayenne (obvod)				https://ru.wikipedia.org/wiki/Майенн_(округ)		https://en.wikipedia.org/wiki/Arrondissement_of_Mayenne	https://de.wikipedia.org/wiki/Arrondissement_Mayenne	https://pl.wikipedia.org/wiki/Okręg_Mayenne	https://es.wikipedia.org/wiki/Distrito_de_Mayenne		https://it.wikipedia.org/wiki/Arrondissement_di_Mayenne	https://nl.wikipedia.org/wiki/Arrondissement_Mayenne				https://cs.wikipedia.org/wiki/Arrondissement_Mayenne	https://ro.wikipedia.org/wiki/Arondismentul_Mayenne			https://sk.wikipedia.org/wiki/Mayenne_(obvod)			
